,0_ECDF_0,0_ECDF_1,0_ECDF_2,0_ECDF_3,0_ECDF_4,0_ECDF_5,0_ECDF_6,0_ECDF_7,0_ECDF_8,0_ECDF_9,0_ECDF Percentile_0,0_ECDF Percentile_1,0_ECDF Percentile Count_0,0_ECDF Percentile Count_1,0_Histogram_0,0_Histogram_1,0_Histogram_2,0_Histogram_3,0_Histogram_4,0_Histogram_5,0_Histogram_6,0_Histogram_7,0_Histogram_8,0_Histogram_9,0_Interquartile range,0_Kurtosis,0_Max,0_Mean,0_Mean absolute deviation,0_Median,0_Median absolute deviation,0_Min,0_Root mean square,0_Skewness,0_Standard deviation,0_Variance,Class
339,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.1848657639726764,0.5295307162460898,8.0,32.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,7.0,4.0,3.0,0.2838481021538084,0.0829490866518432,1.0000000000000004,0.38738877232937396,0.20193172374185692,0.3357795439297275,0.12660553935219898,0.0,0.466501227121343,0.8713659858163026,0.2599102421584406,0.06755333397885925,0.0
340,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.1848657639726764,0.5295307162460898,8.0,32.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,7.0,4.0,3.0,0.2838481021538084,0.05414480503334085,1.0000000000000004,0.38395425871792005,0.20467933463102006,0.32185985413322116,0.11571595831642223,0.0,0.46476717796031036,0.8743340003390518,0.2618924529679374,0.0685876569215633,0.0
341,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.18393125263620713,0.5295307162460898,8.0,32.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,7.0,4.0,3.0,0.2838481021538084,0.02781663253720179,1.0000000000000004,0.38046651924618535,0.20746952620840778,0.3068762940941124,0.12593524374711773,0.0,0.4630210373212228,0.8771812386232439,0.26388199774655574,0.06963370873471324,0.0
342,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.17982733572457232,0.5295307162460898,8.0,32.0,0.0,0.0,0.0,0.0,0.0,9.0,17.0,6.0,4.0,3.0,0.28809697277973334,0.019489059890766214,1.0000000000000004,0.377952171373821,0.20803243543606847,0.3068762940941124,0.12682978241958975,0.0,0.46156623856303214,0.8871378626311899,0.26494442574819294,0.07019554873503972,0.0
343,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.17982733572457232,0.5295307162460898,8.0,32.0,0.0,0.0,0.0,0.0,0.0,9.0,17.0,6.0,4.0,3.0,0.28138018185991953,0.026556558856551504,1.0000000000000004,0.37796157559573895,0.20757712599721315,0.30757990132324486,0.12682978241958975,0.0,0.46147891321990114,0.888445788725331,0.2647788411482449,0.0701078347198075,0.0
344,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.17982733572457232,0.6132555146490805,8.0,32.0,0.0,0.0,0.0,0.0,0.0,9.0,17.0,5.0,5.0,3.0,0.28138018185991953,-0.07129813402420071,1.0000000000000004,0.3828775434882689,0.20831258454860374,0.32185985413322116,0.12779562069645867,0.0,0.46611506550559817,0.8388723528818081,0.2658346120874345,0.07066804098367677,0.0
345,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.17214968742564085,0.5870728425882135,8.0,32.0,0.0,0.0,0.0,0.0,0.0,10.0,17.0,5.0,2.0,6.0,0.3608603964400679,-0.34408931871018567,1.0,0.3864741065657919,0.22470345952013032,0.3111356452691775,0.1318506046740412,0.0,0.4779419379037553,0.8247230386192704,0.2811872347055783,0.07906626096137,0.0
346,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.17214968742564085,0.7147387481926,8.0,32.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,5.0,2.0,8.0,0.4169740016412891,-0.814729498436102,1.0,0.415137679101284,0.25426898304169815,0.32237784263565195,0.17986431739497216,0.0,0.5136642041527156,0.6503511807638562,0.30250887923867975,0.09151162201824214,0.0
347,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.16698034293740938,0.7032089019818706,8.0,32.0,0.0,0.0,0.0,0.0,0.0,11.0,15.0,4.0,3.0,7.0,0.40527781512076033,-0.624307218838335,1.0,0.39986378213947216,0.24674821548876852,0.3103192688215667,0.14075425364004157,0.0,0.49906092565005394,0.7590367524670306,0.29861474049987125,0.08917076324380543,0.0
348,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.16698034293740938,0.5724266318715334,8.0,32.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,4.0,2.0,6.0,0.283517203479161,-0.07618077700036396,1.0,0.373660182542566,0.22001407150244257,0.2995572308485728,0.1254431924228126,0.0,0.46741781059978127,0.9644872743574195,0.2808157361120441,0.07885747764814918,0.0
349,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.16698034293740938,0.5794171524816332,8.0,32.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,4.0,2.0,6.0,0.283517203479161,-0.0891230502514122,1.0,0.3754586337836324,0.22244198067788226,0.2995572308485728,0.1254431924228126,0.0,0.4707010308446005,0.9715487721589467,0.2838842629585122,0.08059027475549771,0.0
