Memory used  (%),CPU utilization (%),Free disk space on C: (%),Free disk space on D: (%),Class
13.1825,9.2283,36.5233,96.6834,0
13.4977,13.1641,36.5252,96.6834,0
10.1295,17.3663,36.5234,96.6834,0
16.967,32.135,36.5245,96.6834,0
16.8229,21.0584,36.5256,96.6834,0
17.9855,9.0512,36.5242,96.6834,0
15.9928,14.9597,36.5254,96.6834,0
9.3369,2.9675,36.5275,96.6834,0
16.1838,23.0901,36.5286,96.6834,0
10.0844,0.8526,36.5275,96.6834,0
10.0773,0.6892,36.5286,96.6834,0
10.1031,7.8047,36.5297,96.6834,0
16.9818,16.5618,36.5313,96.6834,0
9.9491,3.199,36.5294,96.6834,0
19.5971,33.8236,36.5305,96.6834,0
20.6322,27.6297,36.5301,96.6834,0
10.4763,0.7668,36.5351,96.6834,0
10.5005,0.6792,36.5338,96.6834,0
16.4204,26.3154,36.5359,96.6834,0
10.6355,8.9632,36.537,96.6834,0
10.9127,15.7273,36.5357,96.6834,0
17.923,17.589,36.5368,96.6834,0
15.4145,12.0949,36.5379,96.6834,0
10.0361,0.855,36.5394,96.6834,0
10.0463,0.626,36.5377,96.6834,0
13.7659,9.0464,36.381,96.6834,0
16.7394,11.0363,36.3821,96.6834,0
10.5034,14.5314,36.3838,96.6834,0
18.5083,21.8035,36.382,96.6834,0
15.6111,12.5965,36.3602,96.6834,0
9.6163,0.749,36.3613,96.6834,0
9.6042,0.7498,36.36,96.6834,0
9.5935,0.5954,36.3611,96.6835,0
17.2154,8.8707,36.3623,96.6835,0
17.2088,8.89,36.3633,96.6835,0
17.298,13.6759,36.3626,96.6835,0
9.4526,0.6394,36.3637,96.6835,0
12.8502,9.0346,36.3658,96.6835,0
10.5313,9.0407,36.3673,96.6835,0
10.6158,18.488,36.3656,96.6835,0
23.5606,48.134,36.3667,96.6835,0
17.1422,22.3082,36.3678,96.6835,0
11.7172,20.7129,36.3667,96.6835,0
14.591,14.9603,36.3688,96.6835,0
10.0237,0.6722,36.3699,96.6835,0
13.4288,9.5073,36.371,96.6835,0
15.411,13.2224,36.3697,96.6835,0
9.9848,0.9111,36.3708,96.6835,0
10.2749,11.1855,36.372,96.6835,0
10.0703,1.2187,36.3736,96.6835,0
9.4146,0.6397,36.3718,96.6835,0
19.5597,21.3077,36.3702,96.6835,0
10.3205,2.829,36.3723,96.6835,0
10.8612,8.8146,36.3741,96.6835,0
11.2089,16.5178,36.3752,96.6835,0
16.3585,14.0667,36.374,96.6835,0
9.4449,0.7963,36.375,96.6835,0
9.4616,0.7869,36.3762,96.6835,0
9.2816,0.8433,36.3749,96.6835,0
9.3044,3.1463,36.377,96.6835,0
9.373,0.8457,36.3786,96.6835,0
10.3275,9.0793,36.3797,96.6835,0
10.4404,9.0075,36.3784,96.6835,0
19.8978,19.4073,36.3794,96.6835,0
10.2504,6.4059,36.3806,96.6835,0
17.7169,14.2347,36.3822,96.6835,0
9.4293,0.8004,36.3804,96.6835,0
17.9103,21.6476,36.3815,96.6835,0
11.9776,9.0454,36.3826,96.6835,0
15.9623,14.2307,36.3814,96.6835,0
9.3976,0.6048,36.3825,96.6835,0
9.4405,6.6957,36.3835,96.6835,0
10.7152,15.3752,36.3846,96.6835,0
17.7952,16.6963,36.3834,96.6835,0
19.4592,18.5111,36.3845,96.6835,0
